Household_ID,State,City,City_Type,Household_Size,Age_of_Household_Head,Education_Level,Employment_Status,Monthly_Income_INR,Rent_EMI_INR,Food_Expense_INR,Utilities_INR,Education_Expense_INR,Healthcare_Expense_INR,Transport_Expense_INR,Shopping_Expense_INR,Entertainment_Expense_INR,Other_Expenses_INR,Loan_Amount_INR,Monthly_Loan_Payment_INR,Savings_INR,Investment_INR,Financial_Goal,Emergency_Fund_Months,Internet_Access,Vehicle_Ownership,Financial_Stress_Level,Financial_Health_Score
HH00011,Tamil Nadu,Coimbatore,Urban,5,42,Graduate,Daily Wage,18400,2040,2500,2210,1100,890,1190,910,280,460,0,0,4290,2100,Business,18,Yes,None,Very Low,92
HH00012,Uttar Pradesh,Lucknow,Rural,5,53,Secondary,Salaried,50600,6720,10490,4100,5500,1790,3890,2760,2040,790,0,0,6990,1570,Home,6.4,Yes,Two_Wheeler,Low,75
HH00013,Kerala,Thiruvananthapuram,Rural,2,39,Graduate,Self-Employed,85400,8850,12560,5460,940,2710,7980,7180,1630,2870,0,0,28090,15010,Emergency_Fund,18,Yes,Two_Wheeler,Very Low,99
HH00014,Rajasthan,Udaipur,Semi-Urban,2,48,Graduate,Salaried,83300,22240,13560,5320,2900,3810,4640,5470,3090,3130,0,0,11800,4190,Emergency_Fund,10.4,Yes,Car,Very Low,80
HH00015,Maharashtra,Mumbai,Urban,6,50,Secondary,Retired,20700,6740,2500,2650,1940,1390,2030,1800,500,450,222000,3660,-2040,0,Business,0,Yes,Two_Wheeler,High,29
HH00016,Karnataka,Mangaluru,Rural,3,51,Graduate,Salaried,49000,7600,9540,3330,3480,1330,4550,4030,950,1450,362000,8900,3160,1010,Business,8.2,Yes,Two_Wheeler,Medium,54
HH00017,Delhi,New Delhi,Urban,3,51,Secondary,Salaried,50400,12410,7110,3110,4390,1790,2390,2980,1480,2100,264000,3910,6110,2170,Emergency_Fund,8.9,Yes,Two_Wheeler,Low,69
HH00018,Andhra Pradesh,Vijayawada,Urban,5,25,Graduate,Salaried,154900,24720,30080,10110,21490,4900,13280,11880,6840,5650,1412000,39440,-9930,0,Vehicle,0,Yes,None,High,27
HH00019,Rajasthan,Jaipur,Urban,2,43,Graduate,Self-Employed,95500,25370,16110,4560,510,4790,8680,3620,2900,3120,317000,8400,13550,3580,Education,18,Yes,Two_Wheeler,Low,72
HH00020,Kerala,Thiruvananthapuram,Urban,7,39,Graduate,Salaried,151000,11150,32900,10100,19100,7250,11830,8420,6000,4210,0,0,21890,8710,Business,18,Yes,Car,Very Low,82
HH00021,Gujarat,Ahmedabad,Urban,1,41,Graduate,Self-Employed,50500,7450,7750,3140,40,2990,3740,2880,1360,1930,0,0,12010,4730,Retirement,7.8,Yes,Car,Very Low,90
HH00022,Tamil Nadu,Coimbatore,Urban,6,41,Diploma,Government,57000,9910,11650,4520,4360,2450,4770,2160,1460,2160,0,0,10070,2280,Home,6.9,Yes,Car,Low,77
HH00023,Odisha,Cuttack,Urban,3,53,Graduate,Salaried,51200,7600,6670,3970,3490,2080,2840,3090,1780,1170,0,0,11460,6220,None,9.3,Yes,None,Very Low,90
HH00024,Uttar Pradesh,Lucknow,Semi-Urban,2,46,Graduate,Retired,57000,13150,10770,4130,630,3450,4880,4900,1290,2330,224000,4730,5690,3110,None,11.1,No,Two_Wheeler,Low,67
HH00025,Gujarat,Surat,Urban,4,39,Postgraduate,Retired,85600,8120,16880,5810,11800,5340,7450,3490,3610,2290,0,0,9790,2920,Business,18,Yes,Two_Wheeler,Low,79
HH00026,Telangana,Hyderabad,Urban,7,31,Graduate,Salaried,79900,27780,16520,7300,7980,4550,7440,5370,3270,2400,448000,7570,-7670,0,Retirement,0,No,Car,High,35
HH00027,Maharashtra,Mumbai,Urban,4,58,Secondary,Salaried,53200,4130,4330,3580,4870,3970,4650,3610,1500,2200,335000,7140,9810,2220,Home,18,Yes,Car,Low,75
HH00028,Andhra Pradesh,Visakhapatnam,Urban,2,38,Diploma,Self-Employed,76000,19020,13210,4450,2800,3540,4590,5330,1880,1370,0,0,10720,4300,Education,18,Yes,Car,Very Low,81
HH00029,Telangana,Hyderabad,Urban,7,43,Graduate,Salaried,34100,10320,4570,3420,1380,1120,2250,1410,370,1550,341000,5480,1710,260,Emergency_Fund,6.4,Yes,Two_Wheeler,Medium,51
HH00030,West Bengal,Kolkata,Semi-Urban,2,63,Graduate,Self-Employed,47900,13120,8170,3700,890,4970,4650,1660,910,1430,0,0,5790,2890,Emergency_Fund,18,Yes,Two_Wheeler_and_Car,Low,76
HH00031,Gujarat,Vadodara,Urban,2,38,Secondary,Self-Employed,46500,5890,6070,3240,2280,1410,4580,2820,830,1850,220000,5370,7050,1960,Emergency_Fund,8.4,Yes,Car,Low,73
HH00032,Odisha,Cuttack,Urban,1,42,Graduate,Government,71800,15000,10920,3240,610,4940,5400,3140,3100,1930,0,0,12310,5490,Home,13.7,Yes,Car,Very Low,87
HH00033,Tamil Nadu,Chennai,Semi-Urban,6,46,Graduate,Government,43400,6130,7260,3720,5650,2200,3110,1360,910,920,208000,3350,6130,1890,Retirement,9.1,Yes,Car,Low,72
HH00034,Tamil Nadu,Madurai,Urban,2,30,Below Secondary,Retired,18000,1280,2780,1190,730,970,1130,800,330,590,0,0,5270,1350,Retirement,13.6,Yes,Two_Wheeler,Very Low,100
HH00035,Maharashtra,Pune,Semi-Urban,3,29,Below Secondary,Self-Employed,16900,4320,2500,2530,690,660,1340,960,760,710,0,0,1640,570,Education,6.7,Yes,Car,Low,68
HH00036,Telangana,Warangal,Urban,7,40,Graduate,Salaried,81500,8080,17460,5830,5420,5760,5670,4840,2760,2090,529000,8730,11360,3630,Business,13.8,Yes,Two_Wheeler,Low,71
HH00037,Telangana,Nizamabad,Rural,4,40,Graduate,Salaried,23900,5400,4250,2310,2900,1680,2180,1320,310,1070,0,0,1230,640,None,8.5,Yes,Two_Wheeler,Low,66
HH00038,Maharashtra,Pune,Urban,3,45,Diploma,Self-Employed,100400,28380,17740,5480,7450,6260,6350,4320,2730,4840,0,0,13000,5820,Retirement,18,Yes,Car,Low,76
HH00039,Karnataka,Bengaluru,Urban,4,35,Secondary,Government,64800,22330,10820,4640,5230,2680,6160,4210,2450,2000,0,0,3420,1350,None,3.5,Yes,Two_Wheeler,Medium,57
HH00040,West Bengal,Siliguri,Semi-Urban,3,48,Secondary,Daily Wage,36000,7780,6400,3670,3830,1510,3560,1770,670,700,128000,3520,1260,240,Home,5.8,Yes,Car,Medium,54
HH00041,Maharashtra,Nagpur,Urban,4,25,Diploma,Self-Employed,40500,3860,6610,2810,2760,2560,4020,2270,1500,1480,374000,9110,2210,940,Emergency_Fund,10.9,Yes,Two_Wheeler,Medium,54
HH00042,Rajasthan,Jodhpur,Semi-Urban,3,43,Graduate,Self-Employed,142800,17710,24390,9070,14720,3740,12780,11640,2750,3060,436000,6790,17880,3310,Home,18,Yes,None,Low,77
HH00043,West Bengal,Kolkata,Urban,5,47,Secondary,Unemployed,47000,7450,9520,3730,3970,3750,3630,2740,1720,2010,175000,2360,4100,2050,Vehicle,12.3,No,None,Low,69
HH00044,Karnataka,Mangaluru,Urban,5,47,Graduate,Salaried,67200,4610,14090,4940,9400,1860,3440,2740,2560,1590,0,0,15020,3850,Business,14,Yes,None,Very Low,89
HH00045,Rajasthan,Jaipur,Rural,3,43,Secondary,Salaried,42800,8790,5350,3410,5860,2190,3130,3560,550,1790,189000,3190,3130,1130,Home,7.1,Yes,Car,Medium,61
HH00046,Rajasthan,Jodhpur,Rural,2,38,Graduate,Unemployed,14600,4480,2500,700,2600,1040,1450,1020,200,720,0,0,-70,0,Education,0,Yes,Car,Medium,45
HH00047,Tamil Nadu,Chennai,Urban,3,42,Postgraduate,Retired,80400,17350,13770,4790,6560,4620,5870,2490,3150,3230,392000,6950,7400,3830,Retirement,13.3,No,Two_Wheeler,Low,67
HH00048,Karnataka,Bengaluru,Urban,5,55,Secondary,Salaried,74400,25490,16870,4890,3130,4180,6360,5680,2220,1510,0,0,2380,1210,Business,5,Yes,Two_Wheeler,Medium,57
HH00049,West Bengal,Siliguri,Semi-Urban,5,39,Postgraduate,Salaried,26500,4190,8010,3550,1950,1190,1330,1040,1060,500,171000,2610,670,100,Education,5.9,Yes,Car,Medium,51
HH00050,Telangana,Warangal,Semi-Urban,5,53,Graduate,Government,39900,2820,5540,3970,4500,,3900,3220,1580,1260,328000,8900,1220,320,Retirement,1.7,Yes,None,High,39
HH00051,Telangana,Hyderabad,Rural,7,54,Postgraduate,Salaried,63700,18090,12710,5750,7430,4690,6300,5670,2740,3010,427000,11830,-8450,0,Emergency_Fund,0,Yes,Two_Wheeler,High,27
HH00052,Andhra Pradesh,Visakhapatnam,Semi-Urban,6,28,Diploma,Salaried,69000,11310,10190,5800,3890,4360,3820,5650,1820,2600,0,0,8890,1520,Emergency_Fund,18,Yes,Two_Wheeler_and_Car,Very Low,82
HH00053,Gujarat,Ahmedabad,Urban,7,43,Postgraduate,Salaried,81300,22640,20690,6630,10580,5750,4770,7270,3380,2520,450000,6940,-5800,0,Vehicle,0,Yes,Car,High,36
HH00054,West Bengal,Kolkata,Semi-Urban,5,35,Graduate,Self-Employed,25800,1340,5380,1860,1450,1730,1750,1860,650,520,0,0,7510,2980,Home,18,No,Two_Wheeler,Very Low,94
HH00055,West Bengal,Siliguri,Urban,3,30,Secondary,Salaried,66400,13030,11890,4100,8430,2110,5770,2950,1300,1740,416000,7120,4230,2190,Vehicle,9.6,Yes,Car,Medium,63
HH00056,Gujarat,Ahmedabad,Urban,4,51,Postgraduate,Salaried,181700,54990,31870,10880,14860,4780,15610,7530,6630,4180,1344000,20880,6850,1880,None,1.6,Yes,Two_Wheeler,Medium,45
HH00057,Maharashtra,Mumbai,Semi-Urban,3,48,Postgraduate,Salaried,20700,6700,3430,1950,1320,740,1440,1510,850,590,0,0,1650,340,Home,13.1,Yes,None,Low,70
HH00058,Delhi,New Delhi,Semi-Urban,2,46,Secondary,Government,71500,20900,12700,3920,170,1870,6180,2900,2770,1370,241000,5070,7200,2570,Home,13.3,Yes,Two_Wheeler,Low,71
HH00059,Telangana,Nizamabad,Urban,3,34,Graduate,Retired,104500,11220,15780,5800,13150,7660,9490,5170,4490,1630,846000,22410,5690,1140,None,9.3,Yes,Two_Wheeler,Medium,53
HH00060,Andhra Pradesh,Madanapalle,Semi-Urban,3,46,Postgraduate,Government,106700,35620,16020,6090,14550,4710,7410,5850,3580,1910,0,0,8220,1620,Home,12.7,No,None,Low,70
HH00061,West Bengal,Kolkata,Urban,5,32,Graduate,Salaried,63700,16310,11740,4370,7430,4900,5880,3920,2580,1320,0,0,3990,840,Home,10.7,Yes,Two_Wheeler,Low,68
HH00062,Maharashtra,Pune,Urban,3,45,Graduate,Unemployed,32400,9240,5390,2350,4410,1040,2080,1960,730,1340,142000,2190,1130,510,None,6.8,Yes,Car,Medium,56
HH00063,Delhi,New Delhi,Semi-Urban,1,38,Secondary,Unemployed,12800,3000,2650,1170,2920,790,710,590,200,320,67000,1410,-580,0,Retirement,0,Yes,Two_Wheeler,High,36
HH00064,Gujarat,Surat,Semi-Urban,6,53,Diploma,Salaried,61800,15820,12510,4820,8060,2130,3750,4560,2760,1570,540000,13900,-5970,0,Business,0,Yes,Two_Wheeler,High,27
HH00065,Kerala,Thiruvananthapuram,Urban,4,41,Graduate,Unemployed,21900,4670,2630,2810,1910,1390,1000,1930,960,750,214000,3380,230,50,None,0.8,Yes,Two_Wheeler,High,39
HH00066,Delhi,New Delhi,Urban,3,46,Graduate,Self-Employed,74900,13160,11860,5180,3920,1950,3970,6420,1930,3600,0,0,14330,5570,None,18,Yes,Two_Wheeler,Very Low,86
HH00067,Delhi,New Delhi,Urban,3,46,Graduate,Salaried,45900,12790,7880,3120,6270,1360,2990,1740,1620,1770,0,0,5040,1700,Retirement,18,Yes,None,Low,73
HH00068,Karnataka,Bengaluru,Urban,2,43,Graduate,Self-Employed,56900,19550,9750,3850,2330,2240,4640,4790,1890,2390,180000,5010,250,60,Business,0.3,Yes,Two_Wheeler,Medium,41
HH00069,Andhra Pradesh,Guntur,Rural,6,45,Secondary,Self-Employed,82900,4910,18240,6010,4100,4630,4110,3120,1660,3440,467000,9730,14730,2750,Vehicle,18,Yes,None,Low,77
HH00070,Maharashtra,Nagpur,Urban,3,47,Graduate,Retired,32200,9910,4930,2230,2290,1710,1960,1330,380,530,0,0,4130,1350,Education,8.9,Yes,None,Low,77
HH00071,Telangana,Nizamabad,Rural,7,36,Below Secondary,Salaried,11300,3280,2500,2400,1080,680,860,500,200,400,0,0,-330,0,Retirement,0,Yes,None,Medium,44
HH00072,Tamil Nadu,Madurai,Urban,3,48,Graduate,Daily Wage,201800,39960,32150,12060,14540,14050,10170,6960,7360,3390,0,0,34530,18620,Home,18,Yes,None,Very Low,85
HH00073,Rajasthan,Jaipur,Urban,5,52,Graduate,Daily Wage,30300,3500,7510,3420,3030,1090,1860,2150,580,1090,0,0,4410,2280,Home,18,Yes,Two_Wheeler,Low,78
HH00074,Karnataka,Mysuru,Urban,1,48,,Salaried,58200,10580,7610,4550,2630,3180,3350,2520,1070,1090,543000,14280,5030,1690,Home,14.4,Yes,None,Medium,57
HH00075,Andhra Pradesh,Madanapalle,Semi-Urban,4,41,Secondary,Government,37600,2670,5550,3700,4320,1490,2090,1820,1140,880,0,0,11830,4710,Vehicle,18,No,Two_Wheeler,Very Low,96
HH00076,Karnataka,Mysuru,Rural,3,46,Graduate,Self-Employed,49900,11830,8530,3000,6830,2610,2350,2800,1010,2330,0,0,7110,1200,Education,14,Yes,Car,Low,77
HH00077,Karnataka,Mangaluru,Urban,3,41,Secondary,Salaried,35300,2570,8280,1890,3620,1040,3400,2260,1100,1240,0,0,5340,2670,Retirement,18,Yes,Two_Wheeler,Very Low,83
HH00078,West Bengal,Kolkata,Urban,8,43,Below Secondary,Salaried,84600,8250,17730,7300,5470,4110,8110,3790,3680,1780,0,0,20450,10520,Business,13,Yes,Two_Wheeler_and_Car,Very Low,88
HH00079,Delhi,New Delhi,Urban,5,33,Graduate,Retired,39400,10900,8370,3350,1680,1760,2880,1330,790,1760,164000,3260,2430,1040,None,11.6,Yes,Two_Wheeler_and_Car,Medium,63
HH00080,Gujarat,Vadodara,Semi-Urban,3,56,Secondary,Government,27600,3810,3900,1920,2820,2690,2010,1170,440,1300,0,0,4810,1880,Home,18,Yes,Two_Wheeler,Very Low,84
HH00081,West Bengal,Siliguri,Urban,5,61,Graduate,Self-Employed,17900,5390,3570,3050,1370,1640,830,1190,300,470,155000,3010,-1720,0,Business,0,Yes,Two_Wheeler_and_Car,High,30
HH00082,Tamil Nadu,Coimbatore,Rural,2,38,Postgraduate,Salaried,89200,8490,14950,5310,1500,2730,5320,3070,2310,1680,0,0,32960,7020,None,18,Yes,Two_Wheeler,Very Low,100
HH00083,Rajasthan,Jodhpur,Urban,7,51,Secondary,Government,44900,7650,11430,4160,3280,2340,3930,3790,660,920,512000,11200,-2440,0,Education,0,No,Two_Wheeler,High,27
HH00084,Telangana,Warangal,Semi-Urban,4,57,Graduate,Daily Wage,36700,8630,5740,2700,3030,3540,3420,3220,1360,930,0,0,1970,440,Vehicle,9.2,Yes,Two_Wheeler_and_Car,Low,68
HH00085,Andhra Pradesh,Vijayawada,Semi-Urban,3,35,Graduate,Unemployed,11100,3000,2970,700,980,750,970,600,220,250,43000,1120,-270,0,Business,0,Yes,Car,High,38
HH00086,Andhra Pradesh,Tirupati,Urban,3,25,Diploma,Daily Wage,34200,3760,6030,2170,3670,1460,2420,1670,900,1280,310000,5510,3800,1160,Business,14.6,Yes,Two_Wheeler_and_Car,Medium,64
HH00087,Gujarat,Vadodara,Urban,2,58,Graduate,Salaried,65400,19980,10680,3780,1190,5010,5120,2340,1420,2680,753000,13960,-600,0,Retirement,0,Yes,Two_Wheeler,High,32
HH00088,Maharashtra,Mumbai,Rural,7,44,Diploma,Unemployed,20000,3850,6130,2030,1720,590,1320,1260,450,610,151000,4100,-1410,0,Emergency_Fund,0,No,Two_Wheeler,High,29
HH00089,Telangana,Hyderabad,Urban,3,39,Graduate,Daily Wage,40400,2060,5640,3010,1960,3190,3100,3510,1580,1090,478000,6890,4930,1360,Emergency_Fund,5.9,Yes,Two_Wheeler,Medium,61
HH00090,Maharashtra,Pune,Urban,2,44,Graduate,Salaried,38600,5890,7110,2760,600,1350,2240,1430,990,1400,382000,10470,3050,1510,Home,13.3,Yes,Two_Wheeler_and_Car,Medium,54
HH00091,Telangana,Warangal,Rural,6,41,Diploma,Government,139500,11570,28410,9630,18110,4750,12640,4260,3320,2740,0,0,33360,15090,Business,18,Yes,None,Very Low,89
HH00092,West Bengal,Siliguri,Urban,3,70,Graduate,Salaried,81600,13410,15320,4860,10660,4090,5280,3170,3330,3900,309000,7070,8630,4240,None,6.6,Yes,Car,Medium,62
HH00093,Maharashtra,Pune,Rural,2,39,Graduate,Self-Employed,31400,7900,5450,1290,650,1290,2230,1770,1060,1120,0,0,6540,1170,Education,18,Yes,Two_Wheeler_and_Car,Very Low,86
HH00094,Tamil Nadu,Coimbatore,Urban,5,47,Graduate,Salaried,72500,19570,13550,5070,8640,2080,6340,3660,1400,2250,317000,7470,1490,460,Home,1.5,Yes,Car,Medium,44
HH00095,Karnataka,Bengaluru,Semi-Urban,1,56,Below Secondary,Government,44800,6770,7670,2090,2660,4010,4260,1590,1270,1080,0,0,10000,3810,Business,10.6,Yes,Car,Very Low,88
HH00096,Kerala,Kochi,Urban,6,56,Diploma,Salaried,73100,5190,13910,5510,6910,3860,3860,6090,2820,2070,0,0,18000,8010,Retirement,18,No,None,Very Low,90
HH00097,Tamil Nadu,Madurai,Urban,4,54,Diploma,Retired,45200,15300,7450,3920,3320,2850,2310,3580,780,1290,181000,4820,-220,0,Emergency_Fund,0,Yes,Two_Wheeler_and_Car,High,38
HH00098,Andhra Pradesh,Tirupati,Urban,3,40,Graduate,Salaried,74500,15130,11240,4580,9040,2910,6150,3620,3110,1120,0,0,10220,3610,Home,8.7,Yes,None,Low,78
HH00099,Andhra Pradesh,Guntur,Urban,4,43,Secondary,Salaried,79000,25970,13120,5310,4570,2630,4880,7080,2210,2590,930000,16210,-3260,0,Business,0,Yes,Two_Wheeler,High,31
HH00100,Odisha,Cuttack,Urban,3,25,Graduate,Salaried,93900,15680,11480,4890,10680,2690,4360,3910,2300,4270,365000,6000,23180,12560,Retirement,18,Yes,Two_Wheeler_and_Car,Very Low,85
HH00101,Uttar Pradesh,Noida,Urban,4,43,Postgraduate,Salaried,108300,29310,18510,6760,10220,5480,8460,3750,2500,5030,0,0,12470,6080,Home,10.6,Yes,Car,Low,75
HH00102,West Bengal,Kolkata,Semi-Urban,4,44,Below Secondary,Government,15800,5110,2700,2670,1560,690,900,1030,610,490,128000,1730,-940,0,Home,0,Yes,Two_Wheeler_and_Car,High,35
HH00103,Karnataka,Mangaluru,Urban,5,51,Graduate,Self-Employed,30900,4620,7010,3230,2440,1820,2650,2770,550,610,237000,3990,720,380,Retirement,3.6,Yes,Two_Wheeler,Medium,46
HH00104,Odisha,Cuttack,Urban,4,60,Secondary,Self-Employed,37300,6270,5260,2660,3600,3790,3390,2110,460,720,0,0,7120,1950,Home,18,Yes,Car,Very Low,83
HH00105,Gujarat,Ahmedabad,Urban,5,50,Graduate,Retired,38500,2900,6560,2810,4560,3020,2980,3350,1160,1540,321000,8940,310,120,Education,1.8,Yes,Car,High,35
HH00106,West Bengal,Siliguri,Urban,2,54,Secondary,Self-Employed,37900,8540,5570,2570,870,3280,3310,3000,680,1880,215000,2930,3480,750,Education,15.7,Yes,Car,Low,68
HH00107,Maharashtra,Pune,Urban,7,44,Postgraduate,Self-Employed,49900,3530,11830,4750,6020,2080,3460,3560,1430,1030,202000,5060,5410,890,Retirement,8.8,Yes,Car,Low,65
HH00108,Karnataka,Bengaluru,Urban,3,56,Diploma,Salaried,65000,11910,11060,3940,2750,2440,3210,5390,1250,3120,0,0,14980,4310,Retirement,18,Yes,Two_Wheeler,Very Low,88
HH00109,Andhra Pradesh,Guntur,Semi-Urban,6,44,Postgraduate,Unemployed,13000,3000,3190,2120,1560,700,860,1060,410,560,40000,1000,-830,0,Home,0,No,None,High,37
HH00110,Uttar Pradesh,Lucknow,Semi-Urban,4,54,Below Secondary,Salaried,,3010,3230,700,1380,1040,920,500,480,320,101000,1480,-1900,0,Home,0,Yes,Two_Wheeler,High,28
HH00111,Maharashtra,Mumbai,Semi-Urban,2,51,Graduate,Salaried,28300,4180,5110,2460,60,1000,1470,1920,660,1000,129000,1660,6750,1720,Home,18,Yes,Car,Very Low,85
HH00112,Telangana,Nizamabad,Urban,3,48,Secondary,Self-Employed,40700,5860,5850,2560,3500,2610,2530,2820,1300,1680,0,0,8440,3480,Education,18,Yes,Two_Wheeler,Very Low,87
HH00113,Karnataka,Mangaluru,Rural,6,30,Secondary,Government,34100,3500,9450,3690,2860,950,3130,1990,520,1680,0,0,3720,1070,Emergency_Fund,6.8,Yes,Two_Wheeler,Low,71
HH00114,Kerala,Thiruvananthapuram,Semi-Urban,6,54,Postgraduate,Salaried,95700,26320,16480,6940,7410,4020,7300,4470,3460,3230,0,0,10650,3090,Retirement,3.4,Yes,Two_Wheeler,Low,65
HH00115,Telangana,Nizamabad,Semi-Urban,5,47,Diploma,Retired,38400,10180,8640,3590,1860,2960,1880,1980,1440,1330,0,0,2420,1010,Emergency_Fund,6,Yes,Two_Wheeler,Medium,64
HH00116,Rajasthan,Jodhpur,Urban,4,50,Graduate,Salaried,25300,6390,5160,2260,3220,1680,2050,960,730,1100,0,0,800,150,Emergency_Fund,5.1,Yes,Two_Wheeler,Medium,58
HH00117,Gujarat,Surat,Urban,4,47,Graduate,Government,145100,47570,27690,9800,9480,9890,7370,11690,5440,6060,0,0,8500,1610,Business,4.1,Yes,Two_Wheeler,Medium,58
HH00118,West Bengal,Kolkata,Urban,3,48,Diploma,Salaried,52700,4040,8400,3320,2910,3910,3640,4010,1160,2500,0,0,12360,5220,Emergency_Fund,18,Yes,Car,Very Low,91
HH00119,Maharashtra,Pune,Urban,5,56,Secondary,Retired,34400,7920,5790,3970,4010,2090,2540,2280,1430,990,0,0,2810,1180,Home,5.5,Yes,Two_Wheeler,Medium,63
HH00120,Kerala,Kochi,Semi-Urban,3,40,Postgraduate,Salaried,65900,3610,9290,4500,3550,3870,4770,2980,2630,3010,626000,8960,14820,4330,Emergency_Fund,18,Yes,Two_Wheeler,Low,79
HH00121,Kerala,Kozhikode,Urban,6,48,Graduate,Salaried,44000,12940,7290,3980,5120,2730,2180,1820,1300,2170,341000,6070,-1000,0,Emergency_Fund,0,,Car,High,36
HH00122,Kerala,Thiruvananthapuram,Urban,5,37,Postgraduate,Salaried,99200,18140,18600,6590,12230,6030,7710,6560,3260,1530,562000,9890,4810,1130,Home,5.4,Yes,Car,Medium,54
HH00123,Andhra Pradesh,Guntur,Urban,4,49,Graduate,Salaried,26000,1730,3360,2490,1710,940,1740,980,1150,620,0,0,5240,880,Home,18,Yes,Two_Wheeler,Very Low,94
HH00124,Maharashtra,Nagpur,Urban,5,46,Graduate,Salaried,126000,20080,22870,8180,6310,3550,10700,8190,5540,6270,0,0,23210,4960,None,14.7,Yes,None,Very Low,84
HH00125,Andhra Pradesh,Tirupati,Urban,3,38,Graduate,Salaried,72500,9920,10440,5610,5570,3270,6400,2210,2520,2330,834000,21590,1420,550,Emergency_Fund,1.5,No,Car,High,32
HH00126,Maharashtra,Nagpur,Urban,2,45,Below Secondary,Self-Employed,52900,16610,9700,2800,1830,3980,3370,3580,1380,1660,204000,3370,2090,1000,None,8.8,Yes,Two_Wheeler,Medium,61
HH00127,Tamil Nadu,Madurai,Urban,3,39,Postgraduate,Self-Employed,104600,16730,16280,6410,10300,6270,7420,4960,1640,2800,942000,25150,5640,1050,Home,11,Yes,Car,Medium,52
HH00128,Telangana,Nizamabad,Urban,3,41,Graduate,Self-Employed,57500,11050,10150,3440,7470,2610,4440,4380,2500,1080,659000,10570,-100,0,Education,0,Yes,Car,High,34
HH00129,Andhra Pradesh,Visakhapatnam,Urban,3,47,Graduate,Salaried,121900,8770,20050,7170,11200,5540,10650,6860,4430,5590,0,0,28320,8970,Business,18,Yes,Two_Wheeler,Very Low,90
HH00130,Kerala,Thiruvananthapuram,Rural,5,46,Postgraduate,Salaried,37200,2740,7590,3300,2360,2150,2420,1580,520,820,0,0,7670,1360,Retirement,18,Yes,Two_Wheeler,Very Low,91
HH00131,Telangana,Nizamabad,Rural,5,27,Secondary,Unemployed,10000,1330,2500,2550,1000,770,760,500,250,360,46000,1190,-720,0,Home,0,Yes,Two_Wheeler_and_Car,High,34
HH00132,Uttar Pradesh,Varanasi,Urban,4,47,Secondary,Salaried,54600,8010,10880,4240,2680,2250,4760,4860,1250,1690,0,0,10980,3410,Business,18,Yes,Two_Wheeler,Very Low,84
HH00133,Kerala,Thiruvananthapuram,Urban,8,41,Secondary,Daily Wage,14800,1370,4270,2340,1050,710,1050,1040,330,660,0,0,1250,190,Home,18,Yes,Two_Wheeler,Low,72
