Household_ID,State,City,City_Type,Household_Size,Age_of_Household_Head,Education_Level,Employment_Status,Monthly_Income_INR,Rent_EMI_INR,Food_Expense_INR,Utilities_INR,Education_Expense_INR,Healthcare_Expense_INR,Transport_Expense_INR,Shopping_Expense_INR,Entertainment_Expense_INR,Other_Expenses_INR,Loan_Amount_INR,Monthly_Loan_Payment_INR,Savings_INR,Investment_INR,Financial_Goal,Emergency_Fund_Months,Internet_Access,Vehicle_Ownership,Financial_Stress_Level,Financial_Health_Score,Total_Expenses_INR,Savings_Rate,Loan_Burden_Ratio,Expense_Ratio,Income_Per_Person,Expense_Per_Person,Overspending_Flag,Low_Savings_Flag,High_Loan_Burden_Flag,High_Stress_Flag,Financial_Vulnerability_Score,Financial_Vulnerability_Category
HH00014,Rajasthan,Udaipur,Semi-Urban,2,48,Graduate,Salaried,83300.0,22240,13560.0,5320,2900,3810.0,4640,5470,3090,3130,0,0,11800.0,4190,Emergency_Fund,10.4,Yes,Car,Very Low,80,64160.0,14.165666266506602,0.0,77.02280912364947,41650.0,32080.0,0,0,0,0,0,Low Risk
HH00015,Maharashtra,Mumbai,Urban,6,50,Secondary,Retired,20700.0,6740,2500.0,2650,1940,1390.0,2030,1800,500,450,222000,3660,-2040.0,0,Business,0.0,Yes,Two_Wheeler,High,29,20000.0,-9.855072463768117,17.681159420289855,96.61835748792271,3450.0,3333.3333333333335,0,1,0,1,2,High Risk
HH00016,Karnataka,Mangaluru,Rural,3,51,Graduate,Salaried,49000.0,7600,9540.0,3330,3480,1330.0,4550,4030,950,1450,362000,8900,3160.0,1010,Business,8.2,Yes,Two_Wheeler,Medium,54,36260.0,6.448979591836734,18.16326530612245,74.0,16333.333333333334,12086.666666666666,0,1,0,0,1,Moderate Risk
HH00017,Delhi,New Delhi,Urban,3,51,Secondary,Salaried,50400.0,12410,7110.0,3110,4390,1790.0,2390,2980,1480,2100,264000,3910,6110.0,2170,Emergency_Fund,8.9,Yes,Two_Wheeler,Low,69,37760.0,12.123015873015873,7.757936507936508,74.92063492063492,16800.0,12586.666666666666,0,0,0,0,0,Low Risk
HH00018,Andhra Pradesh,Vijayawada,Urban,5,25,Graduate,Salaried,154900.0,24720,30080.0,10110,21490,4900.0,13280,11880,6840,5650,1412000,39440,-9930.0,0,Vehicle,0.0,Yes,Unknown,High,27,128950.0,-6.410587475790833,25.46158812136862,83.24725629438348,30980.0,25790.0,0,1,1,1,3,Very High Risk
HH00019,Rajasthan,Jaipur,Urban,2,43,Graduate,Self-Employed,95500.0,25370,16110.0,4560,510,4790.0,8680,3620,2900,3120,317000,8400,13550.0,3580,Education,18.0,Yes,Two_Wheeler,Low,72,69660.0,14.18848167539267,8.795811518324607,72.94240837696336,47750.0,34830.0,0,0,0,0,0,Low Risk
HH00020,Kerala,Thiruvananthapuram,Urban,7,39,Graduate,Salaried,151000.0,11150,32900.0,10100,19100,7250.0,11830,8420,6000,4210,0,0,21890.0,8710,Business,18.0,Yes,Car,Very Low,82,110960.0,14.496688741721856,0.0,73.48344370860927,21571.428571428572,15851.42857142857,0,0,0,0,0,Low Risk
HH00021,Gujarat,Ahmedabad,Urban,1,41,Graduate,Self-Employed,50500.0,7450,7750.0,3140,40,2990.0,3740,2880,1360,1930,0,0,12010.0,4730,Retirement,7.8,Yes,Car,Very Low,90,31280.0,23.78217821782178,0.0,61.94059405940594,50500.0,31280.0,0,0,0,0,0,Low Risk
HH00022,Tamil Nadu,Coimbatore,Urban,6,41,Diploma,Government,57000.0,9910,11650.0,4520,4360,2450.0,4770,2160,1460,2160,0,0,10070.0,2280,Home,6.9,Yes,Car,Low,77,43440.0,17.666666666666668,0.0,76.21052631578948,9500.0,7240.0,0,0,0,0,0,Low Risk
HH00023,Odisha,Cuttack,Urban,3,53,Graduate,Salaried,51200.0,7600,6670.0,3970,3490,2080.0,2840,3090,1780,1170,0,0,11460.0,6220,Unknown,9.3,Yes,Unknown,Very Low,90,32690.0,22.3828125,0.0,63.84765624999999,17066.666666666668,10896.666666666666,0,0,0,0,0,Low Risk
HH00024,Uttar Pradesh,Lucknow,Semi-Urban,2,46,Graduate,Retired,57000.0,13150,10770.0,4130,630,3450.0,4880,4900,1290,2330,224000,4730,5690.0,3110,Unknown,11.1,No,Two_Wheeler,Low,67,45530.0,9.982456140350877,8.298245614035087,79.87719298245614,28500.0,22765.0,0,1,0,0,1,Moderate Risk
HH00025,Gujarat,Surat,Urban,4,39,Postgraduate,Retired,85600.0,8120,16880.0,5810,11800,5340.0,7450,3490,3610,2290,0,0,9790.0,2920,Business,18.0,Yes,Two_Wheeler,Low,79,64790.0,11.436915887850468,0.0,75.6892523364486,21400.0,16197.5,0,0,0,0,0,Low Risk
HH00026,Telangana,Hyderabad,Urban,7,31,Graduate,Salaried,79900.0,27780,16520.0,7300,7980,4550.0,7440,5370,3270,2400,448000,7570,-7670.0,0,Retirement,0.0,No,Car,High,35,82610.0,-9.599499374217773,9.474342928660825,103.39173967459325,11414.285714285714,11801.42857142857,1,1,0,1,3,Very High Risk
HH00027,Maharashtra,Mumbai,Urban,4,58,Secondary,Salaried,53200.0,4130,4330.0,3580,4870,3970.0,4650,3610,1500,2200,335000,7140,9810.0,2220,Home,18.0,Yes,Car,Low,75,32840.0,18.43984962406015,13.421052631578947,61.72932330827068,13300.0,8210.0,0,0,0,0,0,Low Risk
HH00028,Andhra Pradesh,Visakhapatnam,Urban,2,38,Diploma,Self-Employed,76000.0,19020,13210.0,4450,2800,3540.0,4590,5330,1880,1370,0,0,10720.0,4300,Education,18.0,Yes,Car,Very Low,81,56190.0,14.105263157894738,0.0,73.9342105263158,38000.0,28095.0,0,0,0,0,0,Low Risk
HH00029,Telangana,Hyderabad,Urban,7,43,Graduate,Salaried,34100.0,10320,4570.0,3420,1380,1120.0,2250,1410,370,1550,341000,5480,1710.0,260,Emergency_Fund,6.4,Yes,Two_Wheeler,Medium,51,26390.0,5.0146627565982405,16.070381231671554,77.3900293255132,4871.428571428572,3770.0,0,1,0,0,1,Moderate Risk
HH00030,West Bengal,Kolkata,Semi-Urban,2,63,Graduate,Self-Employed,47900.0,13120,8170.0,3700,890,4970.0,4650,1660,910,1430,0,0,5790.0,2890,Emergency_Fund,18.0,Yes,Two_Wheeler_and_Car,Low,76,39500.0,12.087682672233822,0.0,82.4634655532359,23950.0,19750.0,0,0,0,0,0,Low Risk
HH00031,Gujarat,Vadodara,Urban,2,38,Secondary,Self-Employed,46500.0,5890,6070.0,3240,2280,1410.0,4580,2820,830,1850,220000,5370,7050.0,1960,Emergency_Fund,8.4,Yes,Car,Low,73,28970.0,15.161290322580644,11.548387096774192,62.30107526881721,23250.0,14485.0,0,0,0,0,0,Low Risk
HH00032,Odisha,Cuttack,Urban,1,42,Graduate,Government,71800.0,15000,10920.0,3240,610,4940.0,5400,3140,3100,1930,0,0,12310.0,5490,Home,13.7,Yes,Car,Very Low,87,48280.0,17.144846796657383,0.0,67.24233983286908,71800.0,48280.0,0,0,0,0,0,Low Risk
HH00033,Tamil Nadu,Chennai,Semi-Urban,6,46,Graduate,Government,43400.0,6130,7260.0,3720,5650,2200.0,3110,1360,910,920,208000,3350,6130.0,1890,Retirement,9.1,Yes,Car,Low,72,31260.0,14.124423963133639,7.71889400921659,72.02764976958525,7233.333333333333,5210.0,0,0,0,0,0,Low Risk
HH00034,Tamil Nadu,Madurai,Urban,2,30,Below Secondary,Retired,18000.0,1280,2780.0,1190,730,970.0,1130,800,330,590,0,0,5270.0,1350,Retirement,13.6,Yes,Two_Wheeler,Very Low,100,9800.0,29.27777777777778,0.0,54.44444444444444,9000.0,4900.0,0,0,0,0,0,Low Risk
HH00035,Maharashtra,Pune,Semi-Urban,3,29,Below Secondary,Self-Employed,16900.0,4320,2500.0,2530,690,660.0,1340,960,760,710,0,0,1640.0,570,Education,6.7,Yes,Car,Low,68,14470.0,9.70414201183432,0.0,85.62130177514793,5633.333333333333,4823.333333333333,0,1,0,0,1,Moderate Risk
HH00036,Telangana,Warangal,Urban,7,40,Graduate,Salaried,81500.0,8080,17460.0,5830,5420,5760.0,5670,4840,2760,2090,529000,8730,11360.0,3630,Business,13.8,Yes,Two_Wheeler,Low,71,57910.0,13.938650306748466,10.71165644171779,71.05521472392638,11642.857142857143,8272.857142857143,0,0,0,0,0,Low Risk
HH00037,Telangana,Nizamabad,Rural,4,40,Graduate,Salaried,23900.0,5400,4250.0,2310,2900,1680.0,2180,1320,310,1070,0,0,1230.0,640,Unknown,8.5,Yes,Two_Wheeler,Low,66,21420.0,5.146443514644352,0.0,89.6234309623431,5975.0,5355.0,0,1,0,0,1,Moderate Risk
HH00038,Maharashtra,Pune,Urban,3,45,Diploma,Self-Employed,100400.0,28380,17740.0,5480,7450,6260.0,6350,4320,2730,4840,0,0,13000.0,5820,Retirement,18.0,Yes,Car,Low,76,83550.0,12.94820717131474,0.0,83.2171314741036,33466.666666666664,27850.0,0,0,0,0,0,Low Risk
HH00039,Karnataka,Bengaluru,Urban,4,35,Secondary,Government,64800.0,22330,10820.0,4640,5230,2680.0,6160,4210,2450,2000,0,0,3420.0,1350,Unknown,3.5,Yes,Two_Wheeler,Medium,57,60520.0,5.277777777777778,0.0,93.39506172839506,16200.0,15130.0,0,1,0,0,1,Moderate Risk
HH00040,West Bengal,Siliguri,Semi-Urban,3,48,Secondary,Daily Wage,36000.0,7780,6400.0,3670,3830,1510.0,3560,1770,670,700,128000,3520,1260.0,240,Home,5.8,Yes,Car,Medium,54,29890.0,3.5000000000000004,9.777777777777779,83.02777777777777,12000.0,9963.333333333334,0,1,0,0,1,Moderate Risk
HH00041,Maharashtra,Nagpur,Urban,4,25,Diploma,Self-Employed,40500.0,3860,6610.0,2810,2760,2560.0,4020,2270,1500,1480,374000,9110,2210.0,940,Emergency_Fund,10.9,Yes,Two_Wheeler,Medium,54,27870.0,5.45679012345679,22.493827160493826,68.81481481481482,10125.0,6967.5,0,1,1,0,2,High Risk
HH00042,Rajasthan,Jodhpur,Semi-Urban,3,43,Graduate,Self-Employed,142800.0,17710,24390.0,9070,14720,3740.0,12780,11640,2750,3060,436000,6790,17880.0,3310,Home,18.0,Yes,Unknown,Low,77,99860.0,12.521008403361344,4.754901960784314,69.92997198879551,47600.0,33286.666666666664,0,0,0,0,0,Low Risk
HH00043,West Bengal,Kolkata,Urban,5,47,Secondary,Unemployed,47000.0,7450,9520.0,3730,3970,3750.0,3630,2740,1720,2010,175000,2360,4100.0,2050,Vehicle,12.3,No,Unknown,Low,69,38520.0,8.72340425531915,5.0212765957446805,81.95744680851064,9400.0,7704.0,0,1,0,0,1,Moderate Risk
HH00044,Karnataka,Mangaluru,Urban,5,47,Graduate,Salaried,67200.0,4610,14090.0,4940,9400,1860.0,3440,2740,2560,1590,0,0,15020.0,3850,Business,14.0,Yes,Unknown,Very Low,89,45230.0,22.351190476190478,0.0,67.30654761904762,13440.0,9046.0,0,0,0,0,0,Low Risk
HH00045,Rajasthan,Jaipur,Rural,3,43,Secondary,Salaried,42800.0,8790,5350.0,3410,5860,2190.0,3130,3560,550,1790,189000,3190,3130.0,1130,Home,7.1,Yes,Car,Medium,61,34630.0,7.313084112149533,7.453271028037384,80.91121495327103,14266.666666666666,11543.333333333334,0,1,0,0,1,Moderate Risk
HH00046,Rajasthan,Jodhpur,Rural,2,38,Graduate,Unemployed,14600.0,4480,2500.0,700,2600,1040.0,1450,1020,200,720,0,0,-70.0,0,Education,0.0,Yes,Car,Medium,45,14710.0,-0.4794520547945206,0.0,100.75342465753425,7300.0,7355.0,1,1,0,0,2,High Risk
HH00047,Tamil Nadu,Chennai,Urban,3,42,Postgraduate,Retired,80400.0,17350,13770.0,4790,6560,4620.0,5870,2490,3150,3230,392000,6950,7400.0,3830,Retirement,13.3,No,Two_Wheeler,Low,67,61830.0,9.203980099502488,8.644278606965173,76.90298507462686,26800.0,20610.0,0,1,0,0,1,Moderate Risk
HH00048,Karnataka,Bengaluru,Urban,5,55,Secondary,Salaried,74400.0,25490,16870.0,4890,3130,4180.0,6360,5680,2220,1510,0,0,2380.0,1210,Business,5.0,Yes,Two_Wheeler,Medium,57,70330.0,3.198924731182796,0.0,94.52956989247312,14880.0,14066.0,0,1,0,0,1,Moderate Risk
HH00049,West Bengal,Siliguri,Semi-Urban,5,39,Postgraduate,Salaried,26500.0,4190,8010.0,3550,1950,1190.0,1330,1040,1060,500,171000,2610,670.0,100,Education,5.9,Yes,Car,Medium,51,22820.0,2.5283018867924527,9.849056603773585,86.11320754716981,5300.0,4564.0,0,1,0,0,1,Moderate Risk
HH00050,Telangana,Warangal,Semi-Urban,5,53,Graduate,Government,39900.0,2820,5540.0,3970,4500,2580.0,3900,3220,1580,1260,328000,8900,1220.0,320,Retirement,1.7,Yes,Unknown,High,39,29370.0,3.0576441102756893,22.305764411027567,73.60902255639098,7980.0,5874.0,0,1,1,1,3,Very High Risk
HH00051,Telangana,Hyderabad,Rural,7,54,Postgraduate,Salaried,63700.0,18090,12710.0,5750,7430,4690.0,6300,5670,2740,3010,427000,11830,-8450.0,0,Emergency_Fund,0.0,Yes,Two_Wheeler,High,27,66390.0,-13.26530612244898,18.571428571428573,104.22291993720565,9100.0,9484.285714285714,1,1,0,1,3,Very High Risk
HH00052,Andhra Pradesh,Visakhapatnam,Semi-Urban,6,28,Diploma,Salaried,69000.0,11310,10190.0,5800,3890,4360.0,3820,5650,1820,2600,0,0,8890.0,1520,Emergency_Fund,18.0,Yes,Two_Wheeler_and_Car,Very Low,82,49440.0,12.884057971014492,0.0,71.65217391304348,11500.0,8240.0,0,0,0,0,0,Low Risk
HH00053,Gujarat,Ahmedabad,Urban,7,43,Postgraduate,Salaried,81300.0,22640,20690.0,6630,10580,5750.0,4770,7270,3380,2520,450000,6940,-5800.0,0,Vehicle,0.0,Yes,Car,High,36,84230.0,-7.134071340713407,8.536285362853627,103.6039360393604,11614.285714285714,12032.857142857143,1,1,0,1,3,Very High Risk
HH00054,West Bengal,Kolkata,Semi-Urban,5,35,Graduate,Self-Employed,25800.0,1340,5380.0,1860,1450,1730.0,1750,1860,650,520,0,0,7510.0,2980,Home,18.0,No,Two_Wheeler,Very Low,94,16540.0,29.108527131782946,0.0,64.10852713178295,5160.0,3308.0,0,0,0,0,0,Low Risk
HH00055,West Bengal,Siliguri,Urban,3,30,Secondary,Salaried,66400.0,13030,11890.0,4100,8430,2110.0,5770,2950,1300,1740,416000,7120,4230.0,2190,Vehicle,9.6,Yes,Car,Medium,63,51320.0,6.370481927710843,10.72289156626506,77.28915662650603,22133.333333333332,17106.666666666668,0,1,0,0,1,Moderate Risk
HH00056,Gujarat,Ahmedabad,Urban,4,51,Postgraduate,Salaried,181700.0,54990,31870.0,10880,14860,4780.0,15610,7530,6630,4180,1344000,20880,6850.0,1880,Unknown,1.6,Yes,Two_Wheeler,Medium,45,151330.0,3.769950467804073,11.491469455145845,83.28563566318107,45425.0,37832.5,0,1,0,0,1,Moderate Risk
HH00057,Maharashtra,Mumbai,Semi-Urban,3,48,Postgraduate,Salaried,20700.0,6700,3430.0,1950,1320,740.0,1440,1510,850,590,0,0,1650.0,340,Home,13.1,Yes,Unknown,Low,70,18530.0,7.971014492753622,0.0,89.51690821256038,6900.0,6176.666666666667,0,1,0,0,1,Moderate Risk
HH00058,Delhi,New Delhi,Semi-Urban,2,46,Secondary,Government,71500.0,20900,12700.0,3920,170,1870.0,6180,2900,2770,1370,241000,5070,7200.0,2570,Home,13.3,Yes,Two_Wheeler,Low,71,52780.0,10.06993006993007,7.090909090909091,73.81818181818181,35750.0,26390.0,0,0,0,0,0,Low Risk
HH00059,Telangana,Nizamabad,Urban,3,34,Graduate,Retired,104500.0,11220,15780.0,5800,13150,7660.0,9490,5170,4490,1630,846000,22410,5690.0,1140,Unknown,9.3,Yes,Two_Wheeler,Medium,53,74390.0,5.444976076555024,21.444976076555026,71.1866028708134,34833.333333333336,24796.666666666668,0,1,1,0,2,High Risk
HH00060,Andhra Pradesh,Madanapalle,Semi-Urban,3,46,Postgraduate,Government,106700.0,35620,16020.0,6090,14550,4710.0,7410,5850,3580,1910,0,0,8220.0,1620,Home,12.7,No,Unknown,Low,70,95740.0,7.703842549203374,0.0,89.7282099343955,35566.666666666664,31913.333333333332,0,1,0,0,1,Moderate Risk
HH00061,West Bengal,Kolkata,Urban,5,32,Graduate,Salaried,63700.0,16310,11740.0,4370,7430,4900.0,5880,3920,2580,1320,0,0,3990.0,840,Home,10.7,Yes,Two_Wheeler,Low,68,58450.0,6.263736263736264,0.0,91.75824175824175,12740.0,11690.0,0,1,0,0,1,Moderate Risk
HH00062,Maharashtra,Pune,Urban,3,45,Graduate,Unemployed,32400.0,9240,5390.0,2350,4410,1040.0,2080,1960,730,1340,142000,2190,1130.0,510,Unknown,6.8,Yes,Car,Medium,56,28540.0,3.4876543209876543,6.7592592592592595,88.08641975308642,10800.0,9513.333333333334,0,1,0,0,1,Moderate Risk
HH00063,Delhi,New Delhi,Semi-Urban,1,38,Secondary,Unemployed,12800.0,3000,2650.0,1170,2920,790.0,710,590,200,320,67000,1410,-580.0,0,Retirement,0.0,Yes,Two_Wheeler,High,36,12350.0,-4.53125,11.015625,96.484375,12800.0,12350.0,0,1,0,1,2,High Risk
HH00064,Gujarat,Surat,Semi-Urban,6,53,Diploma,Salaried,61800.0,15820,12510.0,4820,8060,2130.0,3750,4560,2760,1570,540000,13900,-5970.0,0,Business,0.0,Yes,Two_Wheeler,High,27,55980.0,-9.660194174757281,22.491909385113267,90.58252427184466,10300.0,9330.0,0,1,1,1,3,Very High Risk
HH00065,Kerala,Thiruvananthapuram,Urban,4,41,Graduate,Unemployed,21900.0,4670,2630.0,2810,1910,1390.0,1000,1930,960,750,214000,3380,230.0,50,Unknown,0.8,Yes,Two_Wheeler,High,39,18050.0,1.0502283105022832,15.4337899543379,82.42009132420091,5475.0,4512.5,0,1,0,1,2,High Risk
HH00066,Delhi,New Delhi,Urban,3,46,Graduate,Self-Employed,74900.0,13160,11860.0,5180,3920,1950.0,3970,6420,1930,3600,0,0,14330.0,5570,Unknown,18.0,Yes,Two_Wheeler,Very Low,86,51990.0,19.132176234979973,0.0,69.41255006675567,24966.666666666668,17330.0,0,0,0,0,0,Low Risk
HH00067,Delhi,New Delhi,Urban,3,46,Graduate,Salaried,45900.0,12790,7880.0,3120,6270,1360.0,2990,1740,1620,1770,0,0,5040.0,1700,Retirement,18.0,Yes,Unknown,Low,73,39540.0,10.980392156862745,0.0,86.14379084967321,15300.0,13180.0,0,0,0,0,0,Low Risk
HH00068,Karnataka,Bengaluru,Urban,2,43,Graduate,Self-Employed,56900.0,19550,9750.0,3850,2330,2240.0,4640,4790,1890,2390,180000,5010,250.0,60,Business,0.3,Yes,Two_Wheeler,Medium,41,51430.0,0.4393673110720563,8.804920913884008,90.38664323374341,28450.0,25715.0,0,1,0,0,1,Moderate Risk
HH00069,Andhra Pradesh,Guntur,Rural,6,45,Secondary,Self-Employed,82900.0,4910,18240.0,6010,4100,4630.0,4110,3120,1660,3440,467000,9730,14730.0,2750,Vehicle,18.0,Yes,Unknown,Low,77,50220.0,17.768395657418576,11.737032569360675,60.579010856453564,13816.666666666666,8370.0,0,0,0,0,0,Low Risk
HH00070,Maharashtra,Nagpur,Urban,3,47,Graduate,Retired,32200.0,9910,4930.0,2230,2290,1710.0,1960,1330,380,530,0,0,4130.0,1350,Education,8.9,Yes,Unknown,Low,77,25270.0,12.82608695652174,0.0,78.47826086956522,10733.333333333334,8423.333333333334,0,0,0,0,0,Low Risk
HH00071,Telangana,Nizamabad,Rural,7,36,Below Secondary,Salaried,11300.0,3280,2500.0,2400,1080,680.0,860,500,200,400,0,0,-330.0,0,Retirement,0.0,Yes,Unknown,Medium,44,11900.0,-2.920353982300885,0.0,105.30973451327435,1614.2857142857142,1700.0,1,1,0,0,2,High Risk
HH00072,Tamil Nadu,Madurai,Urban,3,48,Graduate,Daily Wage,201800.0,39960,32150.0,12060,14540,14050.0,10170,6960,7360,3390,0,0,34530.0,18620,Home,18.0,Yes,Unknown,Very Low,85,140640.0,17.111000991080278,0.0,69.69276511397423,67266.66666666667,46880.0,0,0,0,0,0,Low Risk
HH00073,Rajasthan,Jaipur,Urban,5,52,Graduate,Daily Wage,30300.0,3500,7510.0,3420,3030,1090.0,1860,2150,580,1090,0,0,4410.0,2280,Home,18.0,Yes,Two_Wheeler,Low,78,24230.0,14.554455445544553,0.0,79.96699669966996,6060.0,4846.0,0,0,0,0,0,Low Risk
HH00074,Karnataka,Mysuru,Urban,1,48,Unknown,Salaried,58200.0,10580,7610.0,4550,2630,3180.0,3350,2520,1070,1090,543000,14280,5030.0,1690,Home,14.4,Yes,Unknown,Medium,57,36580.0,8.642611683848797,24.536082474226802,62.85223367697594,58200.0,36580.0,0,1,1,0,2,High Risk
HH00075,Andhra Pradesh,Madanapalle,Semi-Urban,4,41,Secondary,Government,37600.0,2670,5550.0,3700,4320,1490.0,2090,1820,1140,880,0,0,11830.0,4710,Vehicle,18.0,No,Two_Wheeler,Very Low,96,23660.0,31.46276595744681,0.0,62.92553191489362,9400.0,5915.0,0,0,0,0,0,Low Risk
HH00076,Karnataka,Mysuru,Rural,3,46,Graduate,Self-Employed,49900.0,11830,8530.0,3000,6830,2610.0,2350,2800,1010,2330,0,0,7110.0,1200,Education,14.0,Yes,Car,Low,77,41290.0,14.248496993987974,0.0,82.74549098196393,16633.333333333332,13763.333333333334,0,0,0,0,0,Low Risk
HH00077,Karnataka,Mangaluru,Urban,3,41,Secondary,Salaried,35300.0,2570,8280.0,1890,3620,1040.0,3400,2260,1100,1240,0,0,5340.0,2670,Retirement,18.0,Yes,Two_Wheeler,Very Low,83,25400.0,15.127478753541077,0.0,71.95467422096317,11766.666666666666,8466.666666666666,0,0,0,0,0,Low Risk
HH00078,West Bengal,Kolkata,Urban,8,43,Below Secondary,Salaried,84600.0,8250,17730.0,7300,5470,4110.0,8110,3790,3680,1780,0,0,20450.0,10520,Business,13.0,Yes,Two_Wheeler_and_Car,Very Low,88,60220.0,24.1725768321513,0.0,71.18203309692672,10575.0,7527.5,0,0,0,0,0,Low Risk
HH00079,Delhi,New Delhi,Urban,5,33,Graduate,Retired,39400.0,10900,8370.0,3350,1680,1760.0,2880,1330,790,1760,164000,3260,2430.0,1040,Unknown,11.6,Yes,Two_Wheeler_and_Car,Medium,63,32820.0,6.16751269035533,8.274111675126903,83.2994923857868,7880.0,6564.0,0,1,0,0,1,Moderate Risk
